date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,15:20:08,804007208,24.7,52.0,4.58,34.20,18.89,0,201
2025-06-23,15:20:13,804007213,24.7,51.9,4.75,35.94,19.63,0,192
2025-06-23,15:20:17,804007217,24.7,51.8,4.75,35.98,19.65,0,200
2025-06-23,15:20:22,804007222,24.7,52.0,4.81,36.57,19.90,0,200
2025-06-23,15:20:27,804007227,24.7,51.9,4.83,36.81,20.00,0,200
2025-06-23,15:20:32,804007232,24.7,51.9,4.81,36.62,19.92,0,200
2025-06-23,15:20:36,804007236,24.7,51.9,4.77,36.23,19.75,0,196
2025-06-23,15:20:41,804007241,24.7,52.0,4.69,35.39,19.40,0,168
2025-06-23,15:20:46,804007246,24.7,52.1,4.71,35.53,19.46,0,190
2025-06-23,15:20:51,804007251,24.7,52.1,4.70,35.47,19.43,0,196
2025-06-23,15:20:55,804007255,24.7,52.1,4.72,35.67,19.52,0,197
2025-06-23,15:21:00,804007260,24.7,51.7,4.65,34.95,19.21,0,196
2025-06-23,15:21:05,804007265,24.7,51.8,4.64,34.87,19.18,0,176
2025-06-23,15:21:10,804007270,24.7,51.7,4.69,35.34,19.38,0,139
2025-06-23,15:21:14,804007274,24.7,51.9,4.69,35.34,19.38,0,134
