date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,15:32:23,804007943,24.8,51.4,5.08,39.47,21.11,0,71
2025-06-23,15:32:28,804007948,24.7,51.4,5.13,40.00,21.32,0,71
2025-06-23,15:32:33,804007953,24.8,51.3,5.14,40.17,21.39,0,71
2025-06-23,15:32:37,804007957,24.8,51.4,5.25,41.30,21.86,0,71
2025-06-23,15:32:42,804007962,24.8,51.4,5.30,41.87,22.09,0,71
2025-06-23,15:32:47,804007967,24.8,51.1,5.07,39.40,21.08,0,72
2025-06-23,15:32:52,804007972,24.8,51.3,4.94,37.97,20.48,0,71
2025-06-23,15:32:56,804007976,24.8,51.2,4.87,37.24,20.18,0,72
2025-06-23,15:33:01,804007981,24.8,51.2,4.98,38.45,20.68,0,72
2025-06-23,15:33:06,804007986,24.8,51.3,5.02,38.82,20.84,0,71
2025-06-23,15:33:11,804007991,24.8,51.3,4.97,38.25,20.60,0,71
2025-06-23,15:33:15,804007995,24.8,51.3,4.94,37.94,20.47,0,71
2025-06-23,15:33:20,804008000,24.8,51.3,4.79,36.44,19.84,0,94
2025-06-23,15:33:25,804008005,24.8,51.3,4.83,36.79,19.99,0,98
2025-06-23,15:33:29,804008009,24.8,51.2,4.83,36.79,19.99,0,80
