date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,15:33:36,804008016,24.8,51.1,4.99,38.49,20.70,0,74
2025-06-23,15:33:41,804008021,24.8,51.2,4.97,38.31,20.62,0,73
2025-06-23,15:33:47,804008027,24.8,51.1,4.96,38.20,20.58,0,73
2025-06-23,15:33:51,804008031,24.8,51.2,4.84,36.87,20.02,0,73
2025-06-23,15:33:56,804008036,24.8,51.4,4.91,37.66,20.35,0,72
2025-06-23,15:34:01,804008041,24.8,51.3,4.92,37.72,20.38,0,88
2025-06-23,15:34:05,804008045,24.7,51.3,4.99,38.46,20.69,0,86
2025-06-23,15:34:10,804008050,24.8,51.2,4.84,36.93,20.05,0,87
2025-06-23,15:34:15,804008055,24.8,51.2,4.83,36.83,20.01,0,87
2025-06-23,15:34:20,804008060,24.8,51.2,4.94,38.02,20.50,0,87
2025-06-23,15:34:24,804008064,24.8,51.2,4.97,38.27,20.61,0,86
2025-06-23,15:34:29,804008069,24.8,51.2,5.01,38.69,20.78,0,85
2025-06-23,15:34:34,804008074,24.8,51.2,4.81,36.61,19.91,0,86
2025-06-23,15:34:38,804008078,24.8,51.2,4.74,35.87,19.60,0,86
2025-06-23,15:34:43,804008083,24.7,51.2,4.82,36.75,19.97,0,84
