date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:10:40,804010240,24.7,49.1,4.96,38.19,20.58,0,143
2025-06-23,16:10:45,804010245,24.7,49.1,4.98,38.40,20.66,0,152
2025-06-23,16:10:49,804010249,24.7,49.2,4.89,37.46,20.27,0,171
2025-06-23,16:10:54,804010254,24.7,49.3,4.85,36.99,20.07,0,172
2025-06-23,16:10:59,804010259,24.7,49.2,4.83,36.85,20.01,0,195
2025-06-23,16:11:03,804010263,24.7,49.2,4.97,38.28,20.61,0,216
2025-06-23,16:11:08,804010268,24.7,49.3,4.71,35.60,19.49,0,212
2025-06-23,16:11:13,804010273,24.7,49.3,4.66,35.03,19.25,0,211
2025-06-23,16:11:18,804010278,24.6,49.1,4.58,34.23,18.90,0,215
2025-06-23,16:11:22,804010282,24.7,49.0,4.90,37.55,20.31,0,213
2025-06-23,16:11:28,804010288,24.7,49.2,4.94,37.98,20.49,0,212
2025-06-23,16:11:33,804010293,24.7,49.2,5.01,38.76,20.81,0,213
2025-06-23,16:11:37,804010297,24.7,48.9,4.89,37.47,20.28,0,204
2025-06-23,16:11:42,804010302,24.7,49.2,4.91,37.68,20.36,0,200
2025-06-23,16:11:47,804010307,24.7,49.0,4.87,37.28,20.19,0,203
