date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:32:49,804011569,24.7,47.2,5.00,38.57,20.73,0,57
2025-06-23,16:32:53,804011573,24.8,47.3,5.07,39.38,21.07,0,57
2025-06-23,16:32:58,804011578,24.8,47.4,5.06,39.30,21.04,0,57
2025-06-23,16:33:03,804011583,24.8,47.1,5.05,39.21,21.00,0,57
2025-06-23,16:33:08,804011588,24.8,47.2,5.06,39.27,21.02,0,57
2025-06-23,16:33:12,804011592,24.8,47.4,5.01,38.73,20.80,0,57
2025-06-23,16:33:17,804011597,24.7,47.5,4.90,37.51,20.29,0,59
2025-06-23,16:33:22,804011602,24.7,47.3,4.92,37.81,20.42,0,61
2025-06-23,16:33:26,804011606,24.7,47.3,5.02,38.79,20.82,0,60
2025-06-23,16:33:31,804011611,24.8,47.4,5.14,40.11,21.37,0,61
2025-06-23,16:33:36,804011616,24.8,47.3,5.08,39.47,21.11,0,62
2025-06-23,16:33:41,804011621,24.7,47.4,4.99,38.47,20.69,0,66
2025-06-23,16:33:45,804011625,24.7,47.3,4.99,38.47,20.69,0,95
2025-06-23,16:33:50,804011630,24.7,47.2,5.05,39.15,20.97,0,112
2025-06-23,16:33:55,804011635,24.7,47.3,5.11,39.75,21.22,0,129
