date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:40:10,804012010,24.6,47.0,5.01,38.69,20.78,0,35
2025-06-23,16:40:15,804012015,24.7,47.1,5.06,39.23,21.00,0,36
2025-06-23,16:40:20,804012020,24.7,47.1,5.03,38.97,20.90,0,36
2025-06-23,16:40:25,804012025,24.7,47.0,4.73,35.80,19.57,0,34
2025-06-23,16:40:29,804012029,24.6,47.0,4.72,35.62,19.49,0,34
2025-06-23,16:40:34,804012034,24.7,47.1,4.77,36.13,19.71,0,33
2025-06-23,16:40:40,804012040,24.6,47.0,5.10,39.72,21.21,0,34
2025-06-23,16:40:44,804012044,24.6,46.9,5.39,42.82,22.48,0,34
2025-06-23,16:40:49,804012049,24.7,47.0,5.38,42.70,22.43,0,34
2025-06-23,16:40:54,804012054,24.6,47.1,5.24,41.16,21.80,0,34
2025-06-23,16:40:59,804012059,24.6,47.1,4.97,38.26,20.60,0,35
2025-06-23,16:41:03,804012063,24.7,46.9,4.97,38.35,20.64,0,36
2025-06-23,16:41:08,804012068,24.7,47.2,5.10,39.72,21.21,0,37
2025-06-23,16:41:13,804012073,24.7,47.0,5.05,39.12,20.96,0,37
2025-06-23,16:41:17,804012077,24.7,47.0,4.94,38.02,20.50,0,37
