date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-24,14:11:01,804089461,24.7,42.4,5.50,44.07,22.98,0,71
2025-06-24,14:11:06,804089466,24.7,42.4,5.49,43.96,22.94,0,71
2025-06-24,14:11:10,804089470,24.7,42.6,5.48,43.80,22.87,0,71
2025-06-24,14:11:15,804089475,24.7,42.5,5.55,44.57,23.18,0,73
2025-06-24,14:11:20,804089480,24.7,42.5,5.54,44.50,23.16,0,71
2025-06-24,14:11:25,804089485,24.7,42.5,5.55,44.62,23.20,0,73
2025-06-24,14:11:29,804089489,24.7,42.5,5.42,43.19,22.63,0,76
2025-06-24,14:11:34,804089494,24.7,42.5,5.45,43.56,22.78,0,79
2025-06-24,14:11:39,804089499,24.7,42.4,5.52,44.24,23.05,0,76
2025-06-24,14:11:44,804089504,24.7,42.3,5.54,44.52,23.16,0,76
2025-06-24,14:11:48,804089508,24.7,42.5,5.49,43.96,22.94,0,74
2025-06-24,14:11:53,804089513,24.6,42.4,5.45,43.52,22.76,0,75
2025-06-24,14:11:58,804089518,24.7,42.5,6.04,50.20,25.42,0,76
2025-06-24,14:12:02,804089522,24.7,42.4,6.05,50.26,25.44,0,85
2025-06-24,14:12:07,804089527,24.7,42.5,6.06,50.41,25.50,0,84
