date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-24,14:12:15,804089535,24.6,42.5,5.49,43.92,22.92,0,76
2025-06-24,14:12:19,804089539,24.7,42.5,5.62,45.43,23.53,0,75
2025-06-24,14:12:24,804089544,24.6,42.5,5.64,45.61,23.60,0,77
2025-06-24,14:12:29,804089549,24.7,42.4,5.61,45.24,23.45,0,76
2025-06-24,14:12:34,804089554,24.6,42.4,5.47,43.67,22.82,0,83
2025-06-24,14:12:38,804089558,24.6,42.4,5.30,41.86,22.09,0,90
2025-06-24,14:12:43,804089563,24.6,42.4,5.32,42.07,22.17,0,88
2025-06-24,14:12:48,804089568,24.6,42.4,5.35,42.43,22.32,0,86
2025-06-24,14:12:52,804089572,24.7,42.4,5.56,44.72,23.24,0,81
2025-06-24,14:12:57,804089577,24.6,42.5,5.57,44.86,23.30,0,78
2025-06-24,14:13:02,804089582,24.7,42.5,5.60,45.15,23.42,0,83
2025-06-24,14:13:07,804089587,24.7,42.5,5.57,44.81,23.28,0,83
2025-06-24,14:13:11,804089591,24.7,42.4,5.49,43.97,22.94,0,79
2025-06-24,14:13:16,804089596,24.7,42.6,5.44,43.39,22.71,0,67
2025-06-24,14:13:21,804089601,24.7,42.5,5.43,43.25,22.65,0,66
