date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,15:58:16,804009496,24.8,50.1,4.77,36.23,19.75,0,163
2025-06-23,15:58:21,804009501,24.8,50.0,4.97,38.34,20.64,0,152
2025-06-23,15:58:25,804009505,24.7,50.2,4.92,37.77,20.40,0,151
2025-06-23,15:58:30,804009510,24.7,50.1,4.91,37.68,20.36,0,156
2025-06-23,15:58:35,804009515,24.7,50.0,4.95,38.13,20.55,0,170
2025-06-23,15:58:40,804009520,24.7,50.1,4.95,38.07,20.53,0,175
2025-06-23,15:58:44,804009524,24.7,50.1,4.94,37.97,20.48,0,177
2025-06-23,15:58:49,804009529,24.7,49.9,4.85,37.01,20.08,0,177
2025-06-23,15:58:54,804009534,24.7,50.0,4.91,37.71,20.37,0,178
2025-06-23,15:58:59,804009539,24.7,50.1,4.87,37.24,20.18,0,178
2025-06-23,15:59:04,804009544,24.7,50.0,4.92,37.75,20.39,0,179
2025-06-23,15:59:09,804009549,24.7,50.0,4.86,37.15,20.14,0,179
2025-06-23,15:59:14,804009554,24.7,50.1,4.92,37.73,20.38,0,178
2025-06-23,15:59:18,804009558,24.7,50.0,4.94,37.93,20.47,0,177
2025-06-23,15:59:23,804009563,24.7,50.1,4.93,37.83,20.42,0,177
