date,time,timestamp,temperature,humidity,gas_analog,gas_digital,light
2025-05-20,12:10:05,801058205,27.6,27.5,139,1,365
2025-05-20,12:10:10,801058210,27.6,27.8,143,1,363
2025-05-20,12:10:15,801058215,27.6,27.7,143,1,363
2025-05-20,12:10:20,801058220,27.6,27.6,143,1,361
2025-05-20,12:10:25,801058225,27.6,27.6,144,1,360
2025-05-20,12:10:31,801058231,27.6,27.6,142,1,364
2025-05-20,12:10:36,801058236,27.6,27.7,142,1,364
2025-05-20,12:10:41,801058241,27.7,27.6,141,1,350
2025-05-20,12:10:46,801058246,27.6,27.7,144,1,367
2025-05-20,12:10:51,801058251,27.7,27.8,144,1,361
2025-05-20,12:10:56,801058256,27.7,27.7,143,1,335
2025-05-20,12:11:02,801058262,27.6,27.6,143,1,338
2025-05-20,12:11:07,801058267,27.7,27.2,144,1,337
2025-05-20,12:11:12,801058272,27.6,27.4,144,1,337
2025-05-20,12:11:17,801058277,27.6,27.3,117,1,336
2025-05-20,12:11:22,801058282,27.6,27.5,142,1,336
2025-05-20,12:11:27,801058287,27.6,27.7,142,1,335
2025-05-20,12:11:33,801058293,27.6,27.6,142,1,336
2025-05-20,12:11:38,801058298,27.5,27.8,142,1,335
2025-05-20,12:11:43,801058303,27.5,27.6,139,1,336
2025-05-20,12:11:48,801058308,27.5,27.6,141,1,336
2025-05-20,12:11:53,801058313,27.5,27.6,140,1,335
2025-05-20,12:11:59,801058319,27.5,27.7,140,1,336
2025-05-20,12:12:04,801058324,27.5,27.6,108,1,336
2025-05-20,12:12:09,801058329,27.5,27.8,138,1,336
2025-05-20,12:12:14,801058334,27.5,27.7,135,1,354
2025-05-20,12:12:19,801058339,27.5,27.6,142,1,323
2025-05-20,12:12:25,801058345,27.5,27.6,136,1,363
2025-05-20,12:12:30,801058350,27.5,27.4,143,1,366
2025-05-20,12:12:36,801058356,27.5,27.4,109,1,332
2025-05-20,12:12:41,801058361,27.5,27.6,137,1,331
2025-05-20,12:12:46,801058366,27.5,27.8,139,1,368
2025-05-20,12:12:51,801058371,27.5,27.7,138,1,372
2025-05-20,12:12:56,801058376,27.5,27.8,137,1,375
2025-05-20,12:13:01,801058381,27.5,27.9,101,1,368
2025-05-20,12:13:07,801058387,27.5,28.1,140,1,372
2025-05-20,12:13:12,801058392,27.4,27.9,137,1,370
2025-05-20,12:13:17,801058397,27.5,28.0,133,1,354
2025-05-20,12:13:22,801058402,27.5,28.0,134,1,343
2025-05-20,12:13:27,801058407,27.4,28.0,141,1,340
2025-05-20,12:13:32,801058412,27.4,28.9,140,1,345
2025-05-20,12:13:38,801058418,27.4,28.6,138,1,338
2025-05-20,12:13:43,801058423,27.4,28.1,137,1,332
2025-05-20,12:13:48,801058428,27.4,28.3,141,1,333
2025-05-20,12:13:53,801058433,27.4,28.4,135,1,304
2025-05-20,12:13:58,801058438,27.4,28.2,131,1,336
2025-05-20,12:14:03,801058443,27.4,28.2,137,1,339
2025-05-20,12:14:09,801058449,27.4,28.1,139,1,350
2025-05-20,12:14:14,801058454,27.4,28.5,108,1,416
2025-05-20,12:14:19,801058459,27.4,28.5,139,1,378
2025-05-20,12:14:24,801058464,27.4,28.3,139,1,351
2025-05-20,12:14:29,801058469,27.4,28.4,144,1,353
2025-05-20,12:14:35,801058475,27.4,28.6,140,1,334
2025-05-20,12:14:40,801058480,27.4,28.3,107,1,338
2025-05-20,12:14:45,801058485,27.4,28.4,139,1,366
2025-05-20,12:14:50,801058490,27.4,28.2,81,1,357
2025-05-20,12:14:55,801058495,27.4,28.2,119,1,336
2025-05-20,12:15:01,801058501,27.4,28.4,81,1,437
2025-05-20,12:15:06,801058506,27.4,28.3,121,1,400
