date,time,timestamp,temperature,humidity,gas_analog,gas_digital,ldr_lux
2025-05-28,14:51:42,801759102,26.0,39.6,22673.61,1,7.0
2025-05-28,14:51:47,801759107,26.0,39.8,21814.25,1,7.0
2025-05-28,14:51:52,801759112,26.1,39.5,20425.25,1,8.0
2025-05-28,14:51:57,801759117,26.1,39.0,21814.25,1,7.0
2025-05-28,14:52:02,801759122,26.0,39.8,22673.61,1,7.0
2025-05-28,14:52:08,801759128,26.0,40.0,23850.04,1,7.0
2025-05-28,14:52:13,801759133,26.1,39.6,21814.25,1,7.0
2025-05-28,14:52:18,801759138,26.1,39.1,25994.0,1,7.0
2025-05-28,14:52:23,801759143,26.1,38.9,25370.27,1,7.0
2025-05-28,14:52:28,801759148,26.1,38.7,14712.79,1,7.0
2025-05-28,14:52:33,801759153,26.1,38.9,13399.76,1,7.0
2025-05-28,14:52:39,801759159,26.1,39.4,13829.51,1,7.0
2025-05-28,14:52:44,801759164,26.1,39.9,13399.76,1,7.0
2025-05-28,14:52:50,801759170,26.1,39.6,66828.34,1,7.0
2025-05-28,14:52:55,801759175,26.1,39.4,45505.35,1,7.0
2025-05-28,14:53:00,801759180,26.1,39.1,135764.1,1,7.0
2025-05-28,14:53:05,801759185,26.2,39.2,39607.06,1,7.0
2025-05-28,14:53:10,801759190,26.2,39.9,48185.69,1,7.0
2025-05-28,14:53:15,801759195,26.2,39.4,48641.45,1,8.0
2025-05-28,14:53:21,801759201,26.2,38.7,46388.46,1,8.0
2025-05-28,14:53:26,801759206,26.2,38.4,43342.15,1,8.0
2025-05-28,14:53:31,801759211,26.2,38.4,45067.59,1,9.0
2025-05-28,14:53:36,801759216,26.2,38.8,49099.79,1,9.0
2025-05-28,14:53:41,801759221,26.2,38.5,50959.41,1,8.0
2025-05-28,14:53:47,801759227,26.2,38.6,52861.07,1,9.0
2025-05-28,14:53:52,801759232,26.2,39.5,58310.86,1,9.0
2025-05-28,14:53:57,801759237,26.1,39.2,58310.86,1,9.0
2025-05-28,14:54:02,801759242,26.1,39.3,55793.36,1,9.0
2025-05-28,14:54:07,801759247,26.1,40.0,58310.86,1,7.0
2025-05-28,14:54:12,801759252,26.1,40.4,66275.13,1,7.0
2025-05-28,14:54:18,801759258,26.1,39.9,46388.46,1,7.0
2025-05-28,14:54:23,801759263,26.1,40.2,63014.55,1,9.0
2025-05-28,14:54:28,801759268,26.2,40.3,65177.1,1,9.0
2025-05-28,14:54:33,801759273,26.1,39.7,65724.69,1,10.0
2025-05-28,14:54:38,801759278,26.1,38.9,61421.86,1,10.0
2025-05-28,14:54:44,801759284,26.1,38.9,62480.9,1,9.0
2025-05-28,14:54:49,801759289,26.1,38.8,48185.69,1,9.0
2025-05-28,14:54:54,801759294,26.1,38.9,60896.54,1,10.0
2025-05-28,14:54:59,801759299,26.1,38.5,58822.52,1,10.0
2025-05-28,14:55:04,801759304,26.1,38.5,59854.03,1,9.0
2025-05-28,14:55:10,801759310,26.1,38.5,59854.03,1,10.0
2025-05-28,14:55:15,801759315,26.1,39.1,59854.03,1,10.0
2025-05-28,14:55:20,801759320,26.1,39.3,55297.97,1,9.0
2025-05-28,14:55:25,801759325,26.1,39.0,65177.1,1,9.0
2025-05-28,14:55:30,801759330,26.1,38.8,50959.41,1,9.0
2025-05-28,14:55:36,801759336,26.0,38.6,63551.02,1,10.0
2025-05-28,14:55:41,801759341,26.0,38.5,58822.52,1,10.0
2025-05-28,14:55:46,801759346,26.1,38.4,54315.15,1,10.0
2025-05-28,14:55:51,801759351,26.0,38.6,61421.86,1,9.0
2025-05-28,14:55:56,801759356,26.1,38.5,51904.92,1,10.0
2025-05-28,14:56:02,801759362,26.0,40.9,70780.57,1,10.0
2025-05-28,14:56:07,801759367,26.0,40.2,27919.28,1,10.0
2025-05-28,14:56:12,801759372,26.1,40.7,26309.21,1,10.0
2025-05-28,14:56:17,801759377,26.1,40.0,19884.64,1,8.0
2025-05-28,14:56:22,801759382,26.0,39.3,22964.44,1,8.0
2025-05-28,14:56:28,801759388,26.0,39.5,16097.94,1,8.0
2025-05-28,14:56:33,801759393,26.1,39.6,22384.97,1,9.0
2025-05-28,14:56:38,801759398,26.0,38.9,21532.13,1,9.0
2025-05-28,14:56:43,801759403,26.0,38.9,25994.0,1,9.0
2025-05-28,14:56:49,801759409,26.0,38.8,22964.44,1,8.0
2025-05-28,14:56:54,801759414,26.0,38.8,26626.7,1,8.0
2025-05-28,14:56:59,801759419,26.0,39.5,43342.15,1,8.0
2025-05-28,14:57:04,801759424,26.0,39.6,43342.15,1,8.0
