date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:24:13,804011053,24.8,47.8,4.96,38.17,20.56,0,131
2025-06-23,16:24:17,804011057,24.8,48.0,5.00,38.60,20.74,0,127
2025-06-23,16:24:22,804011062,24.8,47.9,4.94,38.01,20.50,0,119
2025-06-23,16:24:27,804011067,24.8,47.9,4.94,38.01,20.50,0,117
2025-06-23,16:24:32,804011072,24.8,47.9,4.92,37.80,20.41,0,116
2025-06-23,16:24:36,804011076,24.8,47.8,4.96,38.17,20.56,0,116
2025-06-23,16:24:41,804011081,24.8,48.0,4.96,38.22,20.59,0,112
2025-06-23,16:24:46,804011086,24.8,47.8,5.01,38.69,20.78,0,108
2025-06-23,16:24:50,804011090,24.8,47.9,5.05,39.12,20.96,0,106
2025-06-23,16:24:55,804011095,24.8,48.0,4.97,38.26,20.60,0,106
2025-06-23,16:25:00,804011100,24.8,47.9,4.99,38.50,20.71,0,106
2025-06-23,16:25:05,804011105,24.8,47.8,4.74,35.90,19.62,0,107
2025-06-23,16:25:09,804011109,24.8,47.7,4.75,36.00,19.66,0,107
2025-06-23,16:25:14,804011114,24.8,47.8,4.70,35.44,19.42,0,117
2025-06-23,16:25:19,804011119,24.7,47.9,4.96,38.22,20.59,0,118
