date,time,timestamp,temperature,humidity,gas_analog,gas_digital,ldr_lux
2025-05-27,14:08:44,801670124,26.0,42.2,447,1,9.0
2025-05-27,14:08:49,801670129,26.0,41.9,449,1,9.0
2025-05-27,14:08:54,801670134,26.0,41.9,447,1,8.0
2025-05-27,14:08:59,801670139,26.0,41.9,447,1,9.0
2025-05-27,14:09:04,801670144,26.0,41.8,448,1,6.0
2025-05-27,14:09:09,801670149,26.0,41.9,448,1,6.0
2025-05-27,14:09:14,801670154,26.0,42.0,450,1,9.0
2025-05-27,14:09:20,801670160,26.0,41.8,449,1,8.0
2025-05-27,14:09:25,801670165,26.1,41.7,429,1,9.0
2025-05-27,14:09:30,801670170,26.0,41.9,449,1,9.0
2025-05-27,14:09:35,801670175,26.0,41.8,449,1,9.0
2025-05-27,14:09:40,801670180,26.0,41.9,450,1,8.0
2025-05-27,14:09:45,801670185,26.0,41.9,479,1,8.0
2025-05-27,14:09:50,801670190,26.0,41.9,448,1,15.0
2025-05-27,14:09:56,801670196,26.0,41.9,448,1,15.0
2025-05-27,14:10:01,801670201,26.0,41.8,447,1,15.0
2025-05-27,14:10:06,801670206,25.9,42.0,451,1,15.0
2025-05-27,14:10:11,801670211,26.0,42.0,417,1,14.0
2025-05-27,14:10:16,801670216,25.9,42.0,448,1,14.0
2025-05-27,14:10:21,801670221,25.9,41.9,450,1,15.0
2025-05-27,14:10:27,801670227,25.9,41.8,449,1,9.0
2025-05-27,14:10:32,801670232,25.9,41.9,449,1,9.0
2025-05-27,14:10:37,801670237,25.9,42.1,449,1,9.0
2025-05-27,14:10:42,801670242,25.8,41.8,414,1,14.0
2025-05-27,14:10:47,801670247,25.8,42.1,448,1,14.0
2025-05-27,14:10:53,801670253,25.8,42.1,468,1,12.0
2025-05-27,14:10:58,801670258,25.9,42.3,446,1,13.0
2025-05-27,14:11:03,801670263,25.8,42.1,448,1,12.0
2025-05-27,14:11:08,801670268,25.8,42.6,448,1,13.0
2025-05-27,14:11:13,801670273,25.8,42.2,448,1,13.0
2025-05-27,14:11:18,801670278,25.8,42.0,417,1,12.0
2025-05-27,14:11:24,801670284,25.7,42.2,449,1,8.0
2025-05-27,14:11:29,801670289,25.8,42.4,447,1,9.0
2025-05-27,14:11:34,801670294,25.8,42.4,443,1,10.0
2025-05-27,14:11:39,801670299,25.7,42.3,443,1,5.0
2025-05-27,14:11:44,801670304,25.7,42.4,447,1,8.0
2025-05-27,14:11:50,801670310,25.7,42.4,400,1,7.0
2025-05-27,14:11:55,801670315,25.7,42.3,432,1,8.0
2025-05-27,14:12:00,801670320,25.7,42.4,433,1,7.0
2025-05-27,14:12:05,801670325,25.7,42.3,435,1,7.0
2025-05-27,14:12:10,801670330,25.7,42.4,433,1,7.0
2025-05-27,14:12:16,801670336,25.7,42.1,433,1,8.0
2025-05-27,14:12:21,801670341,25.8,42.2,432,1,8.0
2025-05-27,14:12:26,801670346,25.8,42.1,432,1,8.0
2025-05-27,14:12:31,801670351,25.7,42.2,432,1,7.0
2025-05-27,14:12:36,801670356,25.7,42.0,432,1,7.0
2025-05-27,14:12:42,801670362,25.8,42.1,432,1,5.0
2025-05-27,14:12:47,801670367,25.8,41.9,432,1,5.0
2025-05-27,14:12:52,801670372,25.7,42.0,434,1,4.0
2025-05-27,14:12:57,801670377,25.7,42.2,433,1,6.0
2025-05-27,14:13:02,801670382,25.7,42.3,432,1,7.0
2025-05-27,14:13:08,801670388,25.8,42.2,432,1,7.0
2025-05-27,14:13:13,801670393,25.7,41.9,405,1,7.0
2025-05-27,14:13:18,801670398,25.7,42.1,432,1,7.0
2025-05-27,14:13:23,801670403,25.7,42.0,432,1,7.0
2025-05-27,14:13:28,801670408,25.7,42.1,432,1,7.0
2025-05-27,14:13:34,801670414,25.7,42.0,432,1,7.0
2025-05-27,14:13:39,801670419,25.7,42.1,401,1,7.0
2025-05-27,14:13:45,801670425,25.6,42.1,432,1,7.0
2025-05-27,14:13:50,801670430,25.6,42.0,435,1,5.0
2025-05-27,14:13:55,801670435,25.6,42.2,432,1,5.0
2025-05-27,14:14:00,801670440,25.6,42.0,432,1,5.0
2025-05-27,14:14:05,801670445,25.6,42.1,432,1,5.0
2025-05-27,14:14:10,801670450,25.6,42.2,432,1,5.0
2025-05-27,14:14:16,801670456,25.6,42.3,435,1,5.0
2025-05-27,14:14:21,801670461,25.6,42.2,434,1,5.0
2025-05-27,14:14:26,801670466,25.5,42.5,439,1,5.0
2025-05-27,14:14:31,801670471,25.5,42.3,431,1,5.0
2025-05-27,14:14:36,801670476,25.5,42.2,429,1,5.0
