date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,15:44:41,804008681,24.7,51.1,5.23,41.14,21.79,0,107
2025-06-23,15:44:46,804008686,24.8,51.1,5.29,41.76,22.05,0,104
2025-06-23,15:44:50,804008690,24.8,50.9,4.91,37.65,20.35,0,117
2025-06-23,15:44:55,804008695,24.7,51.0,4.90,37.55,20.31,0,120
2025-06-23,15:45:00,804008700,24.8,50.9,4.87,37.20,20.16,0,122
2025-06-23,15:45:05,804008705,24.7,51.2,4.89,37.45,20.26,0,120
2025-06-23,15:45:09,804008709,24.7,50.8,4.77,36.22,19.75,0,120
2025-06-23,15:45:14,804008714,24.8,51.0,4.66,35.04,19.25,0,121
2025-06-23,15:45:19,804008719,24.7,50.9,4.86,37.09,20.11,0,120
2025-06-23,15:45:23,804008723,24.7,50.9,5.03,38.96,20.89,0,121
2025-06-23,15:45:28,804008728,24.7,50.8,5.24,41.19,21.81,0,121
2025-06-23,15:45:33,804008733,24.7,50.9,5.06,39.21,21.00,0,121
2025-06-23,15:45:38,804008738,24.7,50.8,5.01,38.74,20.80,0,121
2025-06-23,15:45:42,804008742,24.7,50.8,5.01,38.73,20.80,0,121
2025-06-23,15:45:47,804008747,24.7,50.8,4.99,38.52,20.71,0,123
