date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:53:15,804012795,24.4,45.8,5.16,40.34,21.46,0,143
2025-06-23,16:53:20,804012800,24.5,45.9,5.06,39.28,21.03,0,146
2025-06-23,16:53:24,804012804,24.5,45.8,5.18,40.52,21.54,0,140
2025-06-23,16:53:29,804012809,24.5,45.7,5.22,40.94,21.71,0,138
2025-06-23,16:53:34,804012814,24.5,45.8,5.39,42.88,22.50,0,138
2025-06-23,16:53:39,804012819,24.4,45.8,5.45,43.55,22.77,0,138
2025-06-23,16:53:43,804012823,24.5,45.9,5.30,41.85,22.08,0,141
2025-06-23,16:53:48,804012828,24.4,45.8,5.31,42.02,22.15,0,143
2025-06-23,16:53:53,804012833,24.4,45.8,5.28,41.59,21.98,0,159
2025-06-23,16:53:58,804012838,24.4,45.8,5.22,41.01,21.74,0,179
2025-06-23,16:54:03,804012843,24.4,45.9,5.09,39.57,21.15,0,189
2025-06-23,16:54:08,804012848,24.4,45.8,4.93,37.88,20.45,0,186
2025-06-23,16:54:13,804012853,24.5,45.8,4.99,38.52,20.71,0,183
2025-06-23,16:54:17,804012857,24.4,45.8,4.95,38.09,20.53,0,182
2025-06-23,16:54:22,804012862,24.4,45.9,4.95,38.04,20.51,0,190
