date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:25:26,804011126,24.7,47.8,5.05,39.19,20.99,0,126
2025-06-23,16:25:30,804011130,24.8,47.7,5.03,38.90,20.87,0,142
2025-06-23,16:25:35,804011135,24.8,47.9,5.05,39.17,20.98,0,156
2025-06-23,16:25:40,804011140,24.8,48.0,5.00,38.59,20.74,0,190
2025-06-23,16:25:45,804011145,24.8,47.7,4.92,37.75,20.39,0,193
2025-06-23,16:25:49,804011149,24.8,47.8,4.90,37.51,20.29,0,190
2025-06-23,16:25:54,804011154,24.8,47.8,4.84,36.87,20.02,0,189
2025-06-23,16:25:59,804011159,24.8,47.9,4.88,37.38,20.24,0,189
2025-06-23,16:26:04,804011164,24.8,47.8,4.90,37.58,20.32,0,188
2025-06-23,16:26:08,804011168,24.8,47.6,4.88,37.37,20.23,0,183
2025-06-23,16:26:13,804011173,24.8,47.8,4.81,36.65,19.93,0,167
2025-06-23,16:26:18,804011178,24.8,47.8,4.77,36.18,19.73,0,177
2025-06-23,16:26:22,804011182,24.8,47.7,4.82,36.74,19.97,0,139
2025-06-23,16:26:27,804011187,24.8,47.5,4.78,36.34,19.80,0,171
2025-06-23,16:26:32,804011192,24.8,47.6,4.78,36.28,19.78,0,153
