date,time,timestamp,temperature,humidity,gas_analog,gas_digital,light
2025-05-05,01:47:20,799724840,24.5,31.7,437,1,4027
2025-05-05,01:47:26,799724846,24.5,31.7,404,1,1179
2025-05-05,01:47:31,799724851,24.5,31.7,439,1,3379
2025-05-05,01:47:36,799724856,24.6,31.8,442,1,0
2025-05-05,01:47:41,799724861,24.5,31.7,438,1,0
2025-05-05,01:47:46,799724866,24.5,31.8,441,1,4095
2025-05-05,01:47:51,799724871,24.5,31.6,437,1,4095
2025-05-05,01:47:56,799724876,24.5,31.6,399,1,0
2025-05-05,01:48:02,799724882,24.5,31.7,437,1,1005
2025-05-05,01:48:07,799724887,24.5,31.7,409,1,3865
2025-05-05,01:48:12,799724892,24.5,31.6,441,1,0
2025-05-05,01:48:17,799724897,24.5,31.8,441,1,0
2025-05-05,01:48:22,799724902,24.5,31.5,439,1,3045
2025-05-05,01:48:28,799724908,24.5,31.7,439,1,0
2025-05-05,01:48:33,799724913,24.5,31.8,437,1,0
2025-05-05,01:48:38,799724918,24.5,31.7,438,1,0
2025-05-05,01:48:43,799724923,24.5,31.6,438,1,0
2025-05-05,01:48:48,799724928,24.5,31.6,437,1,0
2025-05-05,01:48:53,799724933,24.5,31.6,438,1,0
2025-05-05,01:48:59,799724939,24.5,31.6,442,1,0
2025-05-05,01:49:04,799724944,24.5,31.6,438,1,0
2025-05-05,01:49:09,799724949,24.5,31.7,439,1,4000
2025-05-05,01:49:14,799724954,24.5,31.7,441,1,4095
2025-05-05,01:49:19,799724959,24.5,31.7,437,1,0
2025-05-05,01:49:25,799724965,24.5,31.7,441,1,3131
2025-05-05,01:49:30,799724970,24.5,31.8,405,1,469
2025-05-05,01:49:35,799724975,24.5,31.7,439,1,0
2025-05-05,01:49:40,799724980,24.5,31.7,438,1,3249
2025-05-05,01:49:45,799724985,24.5,31.6,443,1,4068
2025-05-05,01:49:51,799724991,24.5,31.6,439,1,0
2025-05-05,01:49:56,799724996,24.5,31.6,442,1,4067
2025-05-05,01:50:01,799725001,24.5,31.7,439,1,3970
2025-05-05,01:50:06,799725006,24.5,31.9,439,1,0
2025-05-05,01:50:11,799725011,24.5,31.7,410,1,0
2025-05-05,01:50:17,799725017,24.5,31.7,437,1,0
2025-05-05,01:50:22,799725022,24.5,31.7,409,1,0
2025-05-05,01:50:28,799725028,24.5,31.8,410,1,3191
2025-05-05,01:50:33,799725033,24.5,31.7,440,1,2659
2025-05-05,01:50:38,799725038,24.5,31.8,439,1,3952
2025-05-05,01:50:43,799725043,24.5,31.7,437,1,0
2025-05-05,01:50:48,799725048,24.5,31.7,437,1,3266
2025-05-05,01:50:53,799725053,24.5,31.6,433,1,4030
2025-05-05,01:50:59,799725059,24.5,31.6,442,1,0
2025-05-05,01:51:04,799725064,24.5,31.7,436,1,4018
2025-05-05,01:51:09,799725069,24.5,31.7,437,1,0
2025-05-05,01:51:14,799725074,24.5,31.7,439,1,4095
2025-05-05,01:51:19,799725079,24.5,31.5,436,1,3870
2025-05-05,01:51:24,799725084,24.5,31.8,438,1,0
2025-05-05,01:51:30,799725090,24.5,31.6,435,1,0
2025-05-05,01:51:35,799725095,24.5,31.7,438,1,0
2025-05-05,01:51:40,799725100,24.5,31.7,439,1,0
2025-05-05,01:51:45,799725105,24.5,31.8,435,1,3984
2025-05-05,01:51:50,799725110,24.5,31.8,404,1,4008
2025-05-05,01:51:55,799725115,24.5,31.7,432,1,4095
2025-05-05,01:52:01,799725121,24.5,31.8,437,1,0
2025-05-05,01:52:06,799725126,24.5,31.7,439,1,0
2025-05-05,01:52:11,799725131,24.5,31.7,403,1,4095
2025-05-05,01:52:16,799725136,24.5,31.7,444,1,2397
2025-05-05,01:52:21,799725141,24.5,31.8,438,1,3766
2025-05-05,01:52:27,799725147,24.5,31.7,442,1,4083
2025-05-05,01:52:32,799725152,24.5,31.8,442,1,4067
2025-05-05,01:52:37,799725157,24.5,31.7,439,1,3323
2025-05-05,01:52:42,799725162,24.5,31.9,438,1,3323
2025-05-05,01:52:47,799725167,24.5,31.7,441,1,0
2025-05-05,01:52:53,799725173,24.5,31.7,409,1,0
2025-05-05,01:52:58,799725178,24.5,31.6,438,1,0
2025-05-05,01:53:03,799725183,24.5,31.7,439,1,0
2025-05-05,01:53:08,799725188,24.5,31.7,437,1,0
2025-05-05,01:53:13,799725193,24.5,31.8,442,1,4095
2025-05-05,01:53:19,799725199,24.5,31.7,439,1,3583
