date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,16:15:37,804010537,24.8,48.5,4.97,38.34,20.63,0,189
2025-06-23,16:15:42,804010542,24.8,48.8,5.05,39.20,20.99,0,190
2025-06-23,16:15:47,804010547,24.8,48.6,5.10,39.74,21.22,0,185
2025-06-23,16:15:51,804010551,24.8,48.7,5.11,39.85,21.26,0,167
2025-06-23,16:15:56,804010556,24.8,48.8,4.98,38.38,20.65,0,163
2025-06-23,16:16:01,804010561,24.8,48.6,4.96,38.19,20.57,0,173
2025-06-23,16:16:05,804010565,24.8,48.5,5.06,39.22,21.00,0,184
2025-06-23,16:16:10,804010570,24.8,48.7,5.01,38.77,20.82,0,186
2025-06-23,16:16:15,804010575,24.8,48.7,5.05,39.14,20.97,0,186
2025-06-23,16:16:20,804010580,24.7,48.7,4.98,38.42,20.67,0,185
2025-06-23,16:16:24,804010584,24.7,48.7,5.04,39.06,20.93,0,185
2025-06-23,16:16:29,804010589,24.7,48.9,5.07,39.42,21.08,0,184
2025-06-23,16:16:34,804010594,24.7,48.7,5.05,39.16,20.98,0,186
2025-06-23,16:16:38,804010598,24.7,48.8,4.93,37.87,20.44,0,184
2025-06-23,16:16:43,804010603,24.7,48.8,4.87,37.23,20.17,0,182
